from;to;type;endDate
/faq/why-was-my-order-cancelled-in-vtex-and-not-in-the-marketplace--frequentlyAskedQuestions_678;https://help.vtex.com/en/tutorial/my-store-order-was-canceled--6qOCSBno1vS9TmHWWveOc;permanent;
/faq/filtering-transactions-on-pci-gateway;https://help.vtex.com/tutorial/filtering-transactions-on-pci-gateway--6LUq65FqUgIKkKEeWa4IwC;permanent;
/tutorial/configurar-gateway-pagbrasil--2vzj6MkFRuKm4KQAOOmWaa;https://help.vtex.com/es/tutorial/configurar-pago-con-pagbrasilv2--5ONHAWmRbZpNIDPXCkNJXD;permanent;
/tutorial/o-que-fazer-quando-um-cliente-abre-uma-disputa--JIKPGpj4B0E7XRF9YOJ09;https://help.vtex.com/pt/announcements/descontinuacao-do-vtex-payment--6BkEnyzVDHfoKwPnGdqBRs;permanent;
/es/tutorial/how-to-add-customized-information-to-the-order-and-manipulate-it--7tDi1jQQ51ufARcRm8NUnC;https://developers.vtex.com/vtex-rest-api/docs/how-to-add-and-handle-custom-information-in-the-order;permanent;
/faq/como-funciona-la-relacion-entre-sitios-web-y-politicas-comerciales;https://help.vtex.com/tutorial/como-funciona-la-relacion-entre-sitios-web-y-politicas-comerciales;permanent;
/v4/docs/order-details--sW79ffQgZmYs3N4EsQgsf;https://help.vtex.com/en/tutorial/pagina-de-detalhes-do-pedido--2Y75n54Cc9VizrlG1N6ZNl;permanent;
/tracks/vtex-intelligent-search--19wrbB7nEQcmwzDPl1l4Cb/3JcuptYAkwr1GLZEM3IQ2m;https://help.vtex.com/en/tutorial/analytics--6qRMAHDL9hvv3oE0bh8mA1;permanent;
/faq/registrar-un-anexo;https://help.vtex.com/tutorial/registrar-un-anexo;permanent;
/tutorial/setting-up-itau-registered-ticket--3TqzCHPU7KIYGsOKuUeQcq;https://help.vtex.com/en/tutorial/setting-up-payments-with-maxipagov4--4pWPhTago6uDxjFMB6kln3;permanent;
/v4/docs/produtos-e-skus--2by5BhcNBskovNZQ9tWNNg;https://help.vtex.com/pt/tutorial/produtos-e-skus-beta--2ig7TmROlirWirZjFWZ3By;permanent;
https://help.vtex.com/pt/tutorial/posso-ordenar-os-produtos-de-acordo-com-o-criterio-da-loja--qfWKX2ZekoEoayiyo0uuA;https://developers.vtex.com/vtex-developer-docs/docs/choosing-the-order-of-my-products;permanent;
/faq/tarjeta-de-credito-flujo-basico-de-un-pago;https://help.vtex.com/tutorial/tarjeta-de-credito-flujo-basico-de-un-pago;permanent;
/tutorial/campos-de-cadastro-de-estoque--3AvR9vXYIbiohz8yvtsn6a?locale=pt;https://help.vtex.com/tutorial/gerenciar-estoque--tutorials_137;permanent;
/tutorial/entenda-seu-saldo--33D45FZsHtPLp2vFYID7eF;https://help.vtex.com/pt/announcements/descontinuacao-do-vtex-payment--6BkEnyzVDHfoKwPnGdqBRs;permanent;
/tracks/configuracoes-de-notificacoes-de-pedidos-produtos-e-frete-na-netshoes--4XEVWU4XIQimY4swYuaOoE;https://help.vtex.com/pt/tracks/configurar-integracao-da-netshoes--5Ua87lhFg4m0kEcuyqmcCm/4XEVWU4XIQimY4swYuaOoE;permanent;
/tutorial/configurar-pagos-con-stelo--6c16nRhAGWaA2mSUOOuC00;https://help.vtex.com/es/tutorial/configurar-pago-con-stelom1v2--1lO9Rn87U0iyBTCpgBlqYD;permanent;
/en/tutorial/creating-a-coupon--tutorials_319;https://help.vtex.com/en/tutorial/creating-a-coupon-;permanent;
